
  Group   Upper      Critical   Inf.Med.   Critical   Inf.Med.  
   No    Energy(eV)   Flux       Flux      Adj.Flux   Adj.Flux  

     1  2.0000E+07  1.579E-09  1.579E-09  2.030E-03  2.030E-03
     2  1.7333E+07  3.293E-06  3.293E-06  2.648E-03  2.648E-03
     3  1.5683E+07  9.777E-06  9.777E-06  3.224E-03  3.224E-03
     4  1.4550E+07  1.851E-05  1.851E-05  4.603E-03  4.603E-03
     5  1.3840E+07  3.429E-05  3.429E-05  2.908E-03  2.908E-03
     6  1.2840E+07  1.541E-04  1.541E-04  8.052E-04  8.052E-04
     7  1.0000E+07  5.834E-04  5.834E-04  9.517E-04  9.517E-04
     8  8.1873E+06  1.867E-03  1.867E-03  7.220E-04  7.220E-04
     9  6.4340E+06  4.660E-03  4.660E-03  5.266E-04  5.266E-04
    10  4.8000E+06  6.922E-03  6.922E-03  1.386E-03  1.386E-03
    11  4.3040E+06  9.992E-03  9.992E-03  4.155E-04  4.155E-04
    12  3.0000E+06  1.527E-02  1.527E-02  7.746E-04  7.746E-04
    13  2.4790E+06  1.734E-02  1.734E-02  2.837E-03  2.837E-03
    14  2.3540E+06  1.474E-02  1.474E-02  6.024E-04  6.024E-04
    15  1.8500E+06  1.533E-02  1.533E-02  6.781E-04  6.781E-04
    16  1.5000E+06  1.617E-02  1.617E-02  2.027E-03  2.027E-03
    17  1.4000E+06  1.567E-02  1.567E-02  4.343E-03  4.343E-03
    18  1.3560E+06  1.318E-02  1.318E-02  4.734E-03  4.734E-03
    19  1.3170E+06  1.462E-02  1.462E-02  2.640E-03  2.640E-03
    20  1.2500E+06  1.659E-02  1.659E-02  3.373E-03  3.373E-03
    21  1.2000E+06  1.524E-02  1.524E-02  1.581E-03  1.581E-03
    22  1.1000E+06  1.210E-02  1.210E-02  1.610E-03  1.610E-03
    23  1.0100E+06  1.233E-02  1.233E-02  1.472E-03  1.472E-03
    24  9.2000E+05  1.433E-02  1.433E-02  6.251E-03  6.251E-03
    25  9.0000E+05  1.522E-02  1.522E-02  4.877E-03  4.877E-03
    26  8.7500E+05  1.614E-02  1.614E-02  8.581E-03  8.581E-03
    27  8.6110E+05  1.810E-02  1.810E-02  2.810E-03  2.810E-03
    28  8.2000E+05  1.971E-02  1.971E-02  1.541E-03  1.541E-03
    29  7.5000E+05  1.758E-02  1.758E-02  1.383E-03  1.383E-03
    30  6.7900E+05  1.707E-02  1.707E-02  1.031E-02  1.031E-02
    31  6.7000E+05  1.645E-02  1.645E-02  1.247E-03  1.247E-03
    32  6.0000E+05  1.577E-02  1.577E-02  2.991E-03  2.991E-03
    33  5.7300E+05  1.540E-02  1.540E-02  3.363E-03  3.363E-03
    34  5.5000E+05  1.464E-02  1.464E-02  1.432E-03  1.432E-03
    35  4.9952E+05  1.313E-02  1.313E-02  2.264E-03  2.264E-03
    36  4.7000E+05  9.809E-03  9.809E-03  2.092E-03  2.092E-03
    37  4.4000E+05  8.306E-03  8.306E-03  2.966E-03  2.966E-03
    38  4.2000E+05  1.013E-02  1.013E-02  2.829E-03  2.829E-03
    39  4.0000E+05  1.171E-02  1.171E-02  7.176E-04  7.176E-04
    40  3.3000E+05  1.190E-02  1.190E-02  6.883E-04  6.883E-04
    41  2.7000E+05  1.007E-02  1.007E-02  4.606E-04  4.606E-04
    42  2.0000E+05  8.670E-03  8.670E-03  4.808E-04  4.808E-04
